,x,y,z,bin,gc_content_percentage
0,-0.3264,0.3988,-0.265,0,33.65
1,-0.3026,0.4367,-0.2681,500000,43.05
2,-0.2171,0.5026,-0.2616,1000000,60.5
3,-0.0999,0.6025,-0.216,1500000,54.07
4,0.017,0.6524,-0.1841,2000000,58.55
5,0.0189,0.7055,-0.1975,2500000,53.12
6,0.07,0.6799,-0.1817,3000000,57.38
7,0.1252,0.6353,-0.162,3500000,55.56
8,0.1289,0.6452,-0.135,4000000,47.93
9,0.1256,0.5973,-0.1326,4500000,47.87
10,0.0798,0.6227,-0.1425,5000000,45.18
11,-0.0175,0.6396,-0.1819,5500000,49.29
12,-0.1433,0.6508,-0.2066,6000000,55.66
13,-0.1861,0.6861,-0.2053,6500000,47.6
14,-0.2223,0.6584,-0.2042,7000000,47.73
15,-0.2969,0.6021,-0.2295,7500000,47.83
16,-0.3332,0.5687,-0.2647,8000000,45.8
17,-0.3583,0.553,-0.309,8500000,43.3
18,-0.3264,0.5807,-0.3357,9000000,50.88
19,-0.2688,0.5979,-0.3421,9500000,49.42
20,-0.1904,0.6344,-0.3305,10000000,44.54
21,-0.0959,0.656,-0.3222,10500000,51.62
22,-0.0338,0.6531,-0.3049,11000000,48.2
23,0.0586,0.6125,-0.2771,11500000,51.88
24,0.149,0.5819,-0.2473,12000000,46.61
25,0.2061,0.5466,-0.2129,12500000,42.31
26,0.1943,0.5041,-0.2002,13000000,45.81
27,0.2171,0.5107,-0.2036,13500000,44.2
28,0.1522,0.5229,-0.218,14000000,42.41
29,0.0485,0.5132,-0.2571,14500000,47.57
30,-0.0626,0.4845,-0.2975,15000000,49.13
31,-0.0676,0.5164,-0.3322,15500000,47.62
32,-0.0021,0.5791,-0.3596,16000000,51.13
33,0.0685,0.6299,-0.3814,16500000,44.1
34,0.1298,0.6117,-0.3544,17000000,49.73
35,0.1167,0.5807,-0.3495,17500000,50.8
36,0.0288,0.6123,-0.4117,18000000,49.17
37,-0.0855,0.5776,-0.4615,18500000,50.33
38,-0.1098,0.5408,-0.46,19000000,47.87
39,-0.1747,0.5459,-0.4874,19500000,46.48
40,-0.278,0.5287,-0.5179,20000000,47.71
41,-0.3442,0.5425,-0.5438,20500000,44.48
42,-0.3973,0.5241,-0.5544,21000000,45.61
43,-0.4358,0.5363,-0.5624,21500000,51.03
44,-0.4671,0.5012,-0.5638,22000000,48.0
45,-0.4975,0.4742,-0.567,22500000,50.87
46,-0.5036,0.4314,-0.5384,23000000,44.71
47,-0.5125,0.3924,-0.5361,23500000,47.43
48,-0.5282,0.3683,-0.5075,24000000,47.18
49,-0.5188,0.3307,-0.515,24500000,46.65
50,-0.4874,0.318,-0.5085,25000000,46.49
51,-0.4371,0.3227,-0.488,25500000,48.92
52,-0.3902,0.3281,-0.4759,26000000,48.93
53,-0.3332,0.3356,-0.4738,26500000,48.33
54,-0.2497,0.3574,-0.4742,27000000,48.85
55,-0.1524,0.3985,-0.4872,27500000,48.35
56,-0.003,0.4466,-0.5107,28000000,43.99
57,0.0956,0.5041,-0.5099,28500000,46.62
58,0.1456,0.5087,-0.4851,29000000,47.11
59,0.139,0.4836,-0.4751,29500000,47.43
60,0.0458,0.4832,-0.5265,30000000,47.94
61,-0.0692,0.4416,-0.5418,30500000,48.54
62,-0.133,0.3996,-0.5247,31000000,45.66
63,-0.1217,0.3475,-0.4631,31500000,48.98
64,-0.0424,0.3266,-0.417,32000000,47.53
65,0.0923,0.3192,-0.3626,32500000,47.05
66,0.2138,0.3241,-0.3003,33000000,46.56
67,0.2513,0.3176,-0.2865,33500000,45.24
68,0.2045,0.3101,-0.3328,34000000,44.14
69,0.1232,0.3078,-0.3881,34500000,45.46
70,0.0842,0.3208,-0.4349,35000000,41.27
71,0.1206,0.3666,-0.4282,35500000,43.51
72,0.2057,0.3714,-0.3762,36000000,47.95
73,0.2368,0.3806,-0.3963,36500000,48.95
74,0.1744,0.3672,-0.4636,37000000,47.37
75,0.1564,0.3117,-0.4742,37500000,47.21
76,0.0995,0.307,-0.5129,38000000,46.18
77,-0.0264,0.3028,-0.5504,38500000,44.76
78,-0.1157,0.2702,-0.5701,39000000,43.42
79,-0.1748,0.2346,-0.5872,39500000,48.23
80,-0.2079,0.2106,-0.6214,40000000,42.39
81,-0.2288,0.1869,-0.6655,40500000,46.42
82,-0.2434,0.1569,-0.6875,41000000,45.56
83,-0.2329,0.1202,-0.6777,41500000,46.94
84,-0.2713,0.1358,-0.6559,42000000,41.06
85,-0.3134,0.1652,-0.6488,42500000,43.83
86,-0.3138,0.1642,-0.5938,43000000,46.43
87,-0.2605,0.1539,-0.5715,43500000,48.56
